,STATION,NAME,DATE,Precipitation (inches),Snowfall (inches),Snow Depth (inches),Avg Hourly Temp (Fahrenheit),Highest Hourly Temp (Fahrenheit),Lowest Hourly Temp (Fahrenheit),Temperature at Observation (Fahrenheit),Year,Month,Day,Month & Day,Year & Month
154,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-04,0.0,0.0,0.0,,91.0,73.0,,1934,6,4,06-04,1934-06
155,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-05,0.0,0.0,0.0,,99.0,69.0,,1934,6,5,06-05,1934-06
156,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-06,0.0,0.0,0.0,,99.0,76.0,,1934,6,6,06-06,1934-06
157,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-07,0.0,0.0,0.0,,99.0,79.0,,1934,6,7,06-07,1934-06
158,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-08,0.02,0.0,0.0,,98.0,70.0,,1934,6,8,06-08,1934-06
159,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-09,0.07,0.0,0.0,,91.0,70.0,,1934,6,9,06-09,1934-06
160,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-10,0.12,0.0,0.0,,82.0,64.0,,1934,6,10,06-10,1934-06
161,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-11,0.0,0.0,0.0,,92.0,71.0,,1934,6,11,06-11,1934-06
162,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-12,0.0,0.0,0.0,,83.0,60.0,,1934,6,12,06-12,1934-06
163,USW00013988,"KANSAS CITY DOWNTOWN AIRPORT, MO US",1934-06-13,0.0,0.0,0.0,,90.0,64.0,,1934,6,13,06-13,1934-06
